libelle_actuel;ou;occurrences;type;documents;action;nom_propose;texte_libre_propose;confiance;motif
Sonde Retour;documents;22;DI;[DEMO] Cuisine centrale — Laon / [DEMO] Mise aux normes GTB — Chauny / (sans titre) (+11);RENOMMER;Sonde retour;;sûr;variante d'écriture d'un point du catalogue
M/A Chauffage VMC;documents;3;DO;Ecole Primaire Berthecourt — Automate maître / Ecole Primaire Berthecourt — Coupleur 2 Primaire / Ecole Primaire Berthecourt — Coupleur 1 Maternelle;RENOMMER;Commande;VMC;sûr;synonyme ou regroupement du vocabulaire
Sonde temp. exterieure;documents;3;COM;Maternelle — Plailly / Montagny Ecole — Automate centralisateur / Centre Culturel Plailly — Automate Chauffage;RENOMMER;Sonde extérieure Ss Fil;;sûr;relecture : point COM = sonde sans fil
M/A BECS;documents;2;DO;Maternelle — Plailly / Primaire — Plailly;RENOMMER;Commande Chauffe eau;;sûr;synonyme ou regroupement du vocabulaire
M/A Chauffage Ballon eau chaude;documents;2;DO;Ecole Primaire Berthecourt — Automate maître / Ecole Primaire Berthecourt — Coupleur 2 Primaire;RENOMMER;Commande Chauffe eau;Ballon eau chaude;sûr;synonyme ou regroupement du vocabulaire
M/A VMC;documents;2;DO;Maternelle — Plailly / Primaire — Plailly;RENOMMER;Commande VMC;;sûr;synonyme ou regroupement du vocabulaire
ODM_Cuisine;catalogue + documents;2;DO;Andeville_Jules_Vernes_SE60-S1000 / Maison_Du_Village;SCINDER;Commande;Cuisine;sûr;générique connu du catalogue
ODM_Perisco;catalogue + documents;2;DO;Andeville_Jules_Vernes_SE60-S1000 / Maison_Du_Village;SCINDER;Commande;Perisco;sûr;générique connu du catalogue
Sonde ambiance Ss Fil — Cuisine;catalogue + documents;2;COM;Andeville_Jules_Vernes_SE60-S1000 / Maison_Du_Village;SCINDER;Sonde ambiance Ss Fil;Cuisine;sûr;générique connu du catalogue
Sonde temp. Dortoir;documents;2;COM;Maternelle — Plailly / Ecole Primaire Berthecourt — Automate maître;SCINDER;Sonde ambiance Ss Fil;Dortoir;sûr;relecture : point COM = sonde sans fil
Sonde temp. Sanitaire;documents;2;COM;Centre Culturel Plailly — Automate Chauffage / Primaire — Plailly;SCINDER;Sonde ambiance Ss Fil;Sanitaire;sûr;relecture : point COM = sonde sans fil
Air Extrait : Grande Vitesse;documents;1;DO;Centre Culturel Plailly — Coupleur CTA;GARDER;Air Extrait : Grande Vitesse;;à relire;aucun local repéré — vocabulaire à valider
Air Extrait : Petite Vitesse;documents;1;DO;Centre Culturel Plailly — Coupleur CTA;GARDER;Air Extrait : Petite Vitesse;;à relire;aucun local repéré — vocabulaire à valider
Air Neuf : Grande Vitesse;documents;1;DO;Centre Culturel Plailly — Coupleur CTA;GARDER;Air Neuf : Grande Vitesse;;à relire;aucun local repéré — vocabulaire à valider
Air Neuf : Petite Vitesse;documents;1;DO;Centre Culturel Plailly — Coupleur CTA;GARDER;Air Neuf : Petite Vitesse;;à relire;aucun local repéré — vocabulaire à valider
Amb_Bureau_2;documents;1;COM;LaLandelle_Mairie;SCINDER;Sonde ambiance Ss Fil;Bureau 2;sûr;relecture : point COM = sonde sans fil
Amb_Bureau_SIRIS_1;documents;1;COM;LaLandelle_Mairie;SCINDER;Sonde ambiance Ss Fil;Bureau SIRIS 1;sûr;relecture : point COM = sonde sans fil
Amb_Bureau_SIRIS_2;documents;1;COM;LaLandelle_Mairie;SCINDER;Sonde ambiance Ss Fil;Bureau SIRIS 2;sûr;relecture : point COM = sonde sans fil
Amb_Salle_Conseil;documents;1;COM;LaLandelle_Mairie;SCINDER;Sonde ambiance Ss Fil;Salle Conseil;sûr;relecture : point COM = sonde sans fil
Amb_Salle_SIRIS_Etage;documents;1;COM;LaLandelle_Mairie;SCINDER;Sonde ambiance Ss Fil;Salle SIRIS Etage;sûr;relecture : point COM = sonde sans fil
Amb_Secretariat;documents;1;COM;LaLandelle_Mairie;SCINDER;Sonde ambiance Ss Fil;Secretariat;sûr;relecture : point COM = sonde sans fil
Ancien_Bureau;catalogue + documents;1;DO;Groupe_Scolaire_Cantine;GARDER;Ancien_Bureau;;à relire;aucun local repéré — vocabulaire à valider
Ancien_Salle_a_Manger;catalogue + documents;1;DO;Groupe_Scolaire_Cantine;RENOMMER;Commande;Ancien_Salle_a_Manger;à relire;relecture : renommage demandé
Cde contacteur Cuisine / Dégagement;catalogue + documents;1;DO;Salle Communale — Lalandelle;SCINDER;Commande contacteur;Cuisine / Dégagement;à relire;générique déduit — à confirmer
Cde contacteur dalle chauffante Salle Communale 1;catalogue + documents;1;DO;Salle Communale — Lalandelle;SCINDER;Commande contacteur;Salle Communale 1 - Dalle;à relire;générique déduit — à confirmer
Cde contacteur dalle chauffante Salle Communale 2;catalogue + documents;1;DO;Salle Communale — Lalandelle;SCINDER;Commande contacteur;Salle Communale 2 - Dalle;à relire;générique déduit — à confirmer
Cde contacteur radiant + dalle Salle Communale 1;catalogue + documents;1;DO;Salle Communale — Lalandelle;SCINDER;Commande contacteur;Salle Communale 1 - Dalle+radiant;à relire;générique déduit — à confirmer
Cde contacteur radiant + dalle Salle Communale 2;catalogue + documents;1;DO;Salle Communale — Lalandelle;SCINDER;Commande contacteur;Salle Communale 2 - Dalle+radiant;à relire;générique déduit — à confirmer
Cde contacteur Zone sanitaire;catalogue + documents;1;DO;Salle Communale — Lalandelle;SCINDER;Commande contacteur;Zone sanitaire;à relire;générique déduit — à confirmer
Chaudiere en mode automatique;documents;1;DO;Salle des fêtes — Berthecourt;GARDER;Chaudiere en mode automatique;;à relire;aucun local repéré — vocabulaire à valider
Chauffage_Reserve;catalogue + documents;1;DO;Groupe_Scolaire_Cantine;SCINDER;Commande Chauffage;Reserve;sûr;regroupement arbitré
Commande CHD;documents;1;DO;ECY600_UEHC_BETHUNE;RENOMMER;Commande Chaudiere;;à relire;relecture : renommage demandé
Commande Pompe;documents;1;DO;Sous-Station;RENOMMER;Commande Pompe simple;;à relire;relecture : renommage demandé
Commande pompes;documents;1;DO;Sous-Station;RENOMMER;Commande pompes double;;à relire;relecture : renommage demandé
Communication BacNet;documents;1;COM;Sous-Station;GARDER;Communication BacNet;;à relire;aucun local repéré — vocabulaire à valider
Comptage electricite salle des fetes;documents;1;COM;Salle des fêtes — Berthecourt;SCINDER;Comptage electricite;salle des fetes;à relire;générique déduit — à confirmer
Comptage gaz salle des fetes;documents;1;COM;Salle des fêtes — Berthecourt;SCINDER;Comptage gaz;salle des fetes;à relire;générique déduit — à confirmer
Compteur Chauffage maternelle;documents;1;COM;Ecole Primaire Berthecourt — Automate maître;SCINDER;Compteur Chauffage;maternelle;à relire;générique déduit — à confirmer
Compteur Chauffage periscolaire;documents;1;COM;Ecole Primaire Berthecourt — Automate maître;SCINDER;Compteur Chauffage;periscolaire;à relire;générique déduit — à confirmer
Compteur Chauffage preau;documents;1;COM;Ecole Primaire Berthecourt — Automate maître;SCINDER;Compteur Chauffage;preau;à relire;générique déduit — à confirmer
Compteur Chauffage primaire;documents;1;COM;Ecole Primaire Berthecourt — Automate maître;SCINDER;Compteur Chauffage;primaire;à relire;générique déduit — à confirmer
Compteur Général Chauffage;documents;1;COM;Maternelle Petit Bouton Nacré — Andeville;RENOMMER;Compteur Chauffage;Général;à relire;relecture : renommage demandé
Compteur General CTA;documents;1;COM;Centre Culturel Plailly — Automate Chauffage;RENOMMER;Compteur Electrique;General CTA;à relire;relecture : renommage demandé
Compteur Général Éclairage;documents;1;COM;Maternelle Petit Bouton Nacré — Andeville;RENOMMER;Compteur Electrique;Général Éclairage;à relire;relecture : renommage demandé
Compteur General Electricite Centre Culturel;documents;1;COM;Centre Culturel Plailly — Automate Chauffage;RENOMMER;Compteur Electrique;General Electricite Centre Culturel;à relire;relecture : renommage demandé
Compteur Imesys Chauffage;documents;1;COM;Montagny Ecole — Automate centralisateur;RENOMMER;Compteur Electrique;Chauffage;à relire;relecture : renommage demandé
Compteur Imesys CTA;documents;1;COM;Montagny Ecole — Automate centralisateur;RENOMMER;Compteur Electrique;CTA;à relire;relecture : renommage demandé
Compteur Imesys TGBT;documents;1;COM;Montagny Ecole — Automate centralisateur;SCINDER;Compteur Electrique;TGBT;à relire;générique déduit — à confirmer
